ProvinceOrTerritory,Population,Percent over 65
Alberta,3645257,11.1
British Columbia,4400057,15.7
Manitoba,1208268,14.3
New Brunswick,751171,16.5
Newfoundland and Labrador,514536,16
Northwest Territories,41462,5.8
Nova Scotia,921727,16.6
Nunavut,31906,3.3
Ontario,12851821,14.6
Prince Edward Island,140204,16.3
Quebec,7903001,15.9
Saskatchewan,1033381,14.9
Yukon Territories,33897,9.1
